# 2-pass re-verification (R106) — boundary cells re-examined with deeper evidence
# Protocol mirrors R104/R105: uncertain cells get a second pass with deeper
# README probing (P = probed via gh api README grep) + domain knowledge.
# 12 boundary cells re-verified; 0 flips (all confirmed on second look).
repo	axis	pass1	pass2	final	note
Yeachan-Heo/oh-my-claudecode	i	MULTI	MULTI	MULTI	"Multi-agent orchestration for Claude Code. Zero learning curve." — CLI manages multiple Claude Code instances
cft0808/edict	i	MULTI	MULTI	MULTI	README explicit: 12 AI agents (11 business roles + 1 compat) in 三省六部 architecture with 并行执行 (parallel execution)
HKUDS/DeepCode	i	MULTI	MULTI	MULTI	probe P: "Advancing Code Generation with Multi-Agent Systems"; central orchestrating agent coordinates specialists
EverMind-AI/EverOS	i	UNKNOWN	UNKNOWN	UNKNOWN	README is a multi-product marketing page (Hive Orchestrator, MCO, NPC); no single verifiable system — honest UNKNOWN
0x4m4/hexstrike-ai	i	MULTI	MULTI	MULTI	README badge: "AI Agents — 12+" and "150+ security tools and 12+ autonomous AI agents"
aden-hive/hive	i	MULTI	MULTI	MULTI	probe P: "colonies of agents — Queen + worker clones"; "one loop controlling many loops"; multi-agent badge
The-Swarm-Corporation/AutoHedge	i	MULTI	MULTI	MULTI	README features: "Multi-Agent Architecture — Director/Quant/Risk/Execution agents"
ANative-Lab/EvoAgentX	i	MULTI	MULTI	MULTI	"Building a Self-Evolving Ecosystem of AI Agents"; known multi-agent evolution framework (auto-extends to multi-agent)
MemMachine/MemMachine	i	SINGLE	SINGLE	SINGLE	"open-source memory layer for AI agents" — infra; langchain dep incidental (MemOS parallel); v2=MULTI is an error
SenteLabsAI/OpenExecutive	i	MULTI	MULTI	MULTI	README: "a single coherent executive voice backed by eight specialist AI agents" (CSO/CFO/CHRO/GC/COO/CMO/CTO...)
satellitecomponent/Neurite	i	MULTI	MULTI	MULTI	probe P: "Multi-Agent UI — connect and manage multiple AI nodes, graph-based multi-agent conversation"
chrisworsey55/atlas-gic	i	MULTI	MULTI	MULTI	README: "All 25 agents", agent leaderboard, live signals — multi-agent trading service
jd-opensource/OxyGent	i	MULTI	MULTI	MULTI	probe P: "modular multi-agent framework... build, deploy, and evolve AI teams"; agents decompose tasks, negotiate
