# Provenance is a COLUMN, one value per row, in the sixth field:
#   claim      -- the intent was written by reading the CITING SENTENCE first: the
#                 sentence fixes the work, and the locator was then found for that
#                 work.  For these rows the support test is a genuine check.
#   backfilled -- the intent is the title of the record the LOCATOR returned, so for
#                 these rows the support test asserts only that the locator agrees
#                 with itself.  This is the blind spot the round-3 review found live
#                 in `pbft`, and it is now bounded per row rather than declared as a
#                 count in this header.
# The rule by which a row got its mark: `claim` iff the locator was chosen by reading
# the sentence -- the rows corrected in the round-1 repair (derivable: their (method,
# value) differs from the batch at commit 1ada0e2) plus the two corrected this round.
# The number is COUNTED from this column by verify_refs.py, not declared here: the
# previous header carried a bare count (20) that the tree could not derive, so a
# reviewer could not run the check it described.  The number of corrected locators the
# tree can derive is 16; the two sets are not the same set, and only the column is
# checkable.
# What the column does and does not do: the MARK is still a declaration by the
# author -- no rule can recover, from a row, who wrote what when. What changes is
# that the blind spot is now per ROW and spot-checkable: a reviewer can take any row
# marked `claim`, read its citing sentence, and decide whether that record is the
# work the sentence needs. Before this column the same review question could not be
# run at all, because the split was one number in a header the rows could not confirm.
# (Columns: key, method, value, declared intent, optional author, provenance,
#  anchor -- column 7.)
# Batch 1 of the bibliography, clusters A-E. Format: key <TAB> doi|arxiv|title <TAB> value
# Every line is verified before it is cited; an unverified line is dropped, not softened.
# Batch 2 of the bibliography, clusters F-J plus the estimation-theory block.
# Column 7 (`anchor`) records how each row's anchoring was established, one value
# per row: `screen` -- the citing clause in the manuscript names the record by a
# token of its title that exactly ONE title in this corpus carries, or by one of its
# authors' surnames; `read` -- the screen cannot decide (no unique title token and no
# surname), so the clause was READ against the record by the author -- identity and
# all: the returned year, venue and authors against the entry's own line.
# The screen detects UNEARNED SILENCE, not substitution: a substitute that shares the
# record's own unique token passes it, and the selftest pins that clause as a blind
# spot. A `screen` mark is therefore a statement about the clause's vocabulary, not a
# certification of identity; the identity reads are what cover the rest.
# Sixteen rows were `screen` under the older rule (a token shared by up to two titles
# was accepted, which is how `byzantine` certified a clause about another work) and
# are `read` here: each was read against its record and every one is correctly
# anchored, so the rule changed what the instrument may assert, not any verdict.
# verify_refs.py recomputes the screen and FAILS if a mark disagrees with it or if a
# flagged row is left unread, so the column cannot drift away from the instrument.
# `detectiontheory` (a title search with no matching record) was dropped here: it is
# cited by no sentence, and an unverifiable citation must not be shipped.

threshold	arxiv	2609.10601	Threshold Choice, Not Sample Size, Bounds Trustless Verification of Nondeterministic Compound AI Workflows	-	backfilled	screen
nova	arxiv	2609.12582	NovaFabric: Tamper-Evident, Replayable Evidence for Autonomous AI Agent Runs	-	backfilled	screen
wald	doi	10.1214/aoms/1177731118	Sequential Tests of Statistical Hypotheses	-	backfilled	read
power	doi	10.1037/0033-2909.112.1.155	A power primer	-	backfilled	read
groupseq	doi	10.1093/biomet/64.2.191	Group sequential methods in the design and analysis of clinical trials	-	backfilled	read
adapt	doi	10.1002/sim.3538	Adaptive designs for confirmatory clinical trials	-	backfilled	read
impossibility	doi	10.1214/aoms/1177728077	The Nonexistence of Certain Statistical Procedures in Nonparametric Problems	-	backfilled	read
ingster	doi	10.1007/978-0-387-21580-8	Nonparametric Goodness-of-Fit Testing Under Gaussian Models	-	backfilled	read
audit	doi	10.1109/TCSS.2020.2998732	Optimal Spot-Checking for Improving the Evaluation Quality of Crowdsourcing: Application to Peer Grading Systems	-	backfilled	read
safetycase	doi	10.1016/j.ssci.2016.09.014	An investigation of proposed techniques for quantifying confidence in assurance arguments	-	backfilled	read
costsampling	doi	10.14778/2367502.2367533	Blink and it's done: interactive queries on very large data	-	backfilled	read
design	doi	10.1109/TSSC.1966.300074	Information Value Theory	-	backfilled	screen
samplingverify	title	Statistical Model Checking: An Overview	Statistical Model Checking: An Overview	-	backfilled	read
metricsat	doi	10.1038/s41467-022-34591-0	Mapping global dynamics of benchmark creation and saturation in artificial intelligence	-	backfilled	screen
attestation	title	Innovative instructions and software model for isolated execution	Innovative instructions and software model for isolated execution	-	backfilled	read
verifiablecompute	doi	10.1007/978-3-642-14623-7_25	Non-interactive Verifiable Computing: Outsourcing Computation to Untrusted Workers	-	backfilled	read
pinocchio	doi	10.1109/SP.2013.47	Pinocchio: Nearly Practical Verifiable Computation	-	backfilled	read
ekiden	doi	10.1109/EuroSP.2019.00023	Ekiden: A Platform for Confidentiality-Preserving, Trustworthy, and Performant Smart Contracts	-	backfilled	read
flicker	doi	10.1145/1357010.1352625	Flicker: an execution infrastructure for tcb minimization	-	backfilled	read
notary	doi	10.1145/3341301.3359661	Notary: a device for secure transaction approval	-	backfilled	screen
spectre	doi	10.1109/SP.2019.00002	Spectre Attacks: Exploiting Speculative Execution	-	backfilled	read
