# Ground-truth annotation — issue #57 Multi-Agent in the Wild (R107, axis ii only)
# Axis-ii (topology ORCH-WORKER|TEAM|PIPELINE|SINGLE|UNKNOWN) for the 15 genuine
# MAS (gt axis i = MULTI) not yet annotated. Combined with R104 (10) + R105 (20)
# axis-ii cells → 27/27 genuine Tier B MAS have topology labels → complete H2.
# Evidence: README self-description + deep probes (P) from R106/R107 + architecture
# diagrams. boundary=1 cells re-verified in pass_b_r107.tsv.
repo	axis	label	boundary	evidence
0x4m4/hexstrike-ai	ii	TEAM	1	12+ peer autonomous AI agents exposed via MCP server (IntelligentDecisionEngine, BugBountyWorkflowManager, CTFWorkflowManager...); no central orchestrator documented (P)
ANative-Lab/EvoAgentX	ii	UNKNOWN	1	framework: AgentManager + WorkFlow(graph); topology user-defined (no canonical pattern documented) (P)
HKUDS/DeepCode	ii	ORCH-WORKER	0	"central orchestrating agent coordinates specialists... chooses and revisits phases" (P)
Paper2Poster/Paper2Poster	ii	PIPELINE	1	README "multi-agent pipeline"; paper→poster generation stages (autogen/camel deps)
SenteLabsAI/OpenExecutive	ii	ORCH-WORKER	1	"single coherent executive voice backed by eight specialist agents" (CSO/CFO/CHRO/GC/COO/CMO...) — coordinator + specialists
The-Swarm-Corporation/AutoHedge	ii	PIPELINE	0	"Specialized agents for each stage of the trading pipeline": Director→Quant→Risk-Management→Execution
Yeachan-Heo/oh-my-claudecode	ii	ORCH-WORKER	1	"Multi-agent orchestration for Claude Code"; v4.1.7 "Team is the canonical orchestration surface" — OMC controller orchestrates team workers (tmux CLI workers / in-session team) (P)
aden-hive/hive	ii	ORCH-WORKER	0	Queen (persistent client-facing lead) spawns worker clones; "one loop controlling many loops" (P)
cft0808/edict	ii	PIPELINE	0	三省六部 sequential: 太子分拣→中书省规划→门下省审核封驳→尚书省派发→六部并行执行 (SOP-like with institutional review gate)
chrisworsey55/atlas-gic	ii	ORCH-WORKER	0	"orchestration layer + synthesis/decision layer" converting agent signals to positions; portfolio manager (CIO) (P)
dataelement/Clawith	ii	TEAM	0	"digital employees... every agent understands the full org chart, can send messages, delegate tasks, build real working relationships" — peer messaging/delegation (P)
dimensionalOS/dimos	ii	UNKNOWN	0	OS/framework for building multi-agent systems; topology user-defined ("agent-native" platform)
gptme/gptme	ii	ORCH-WORKER	1	subagent planner mode; main agent spawns subagents for parallel/isolated tasks; multi-agent coordination via file leases/message bus (P)
jd-opensource/OxyGent	ii	UNKNOWN	0	framework "supports any agent topology — from simple ReAct to complex hybrid planning patterns" (P)
satellitecomponent/Neurite	ii	TEAM	0	"Multi-Agent UI: connect and manage multiple AI nodes, graph-based multi-agent conversation" — collaborative peers (P)
