# Ground-truth annotation — issue #57 Multi-Agent in the Wild (R104)
# 20 repos x 3 axes = 60 cells. Annotator: how2how2how2-arch (single-instance
# author census; boundary cells marked `boundary=1` get a 2-pass re-verification).
# Evidence: README semantic + framework evidence + tree structure + probe hits.
# Axes: i=model-instance (SINGLE|MULTI|UNKNOWN) ii=topology (ORCH-WORKER|TEAM|PIPELINE|SINGLE|UNKNOWN) iii=judge (JUDGE|NO|UNKNOWN)
repo	axis	label	boundary	evidence
microsoft/autogen	i	MULTI	0	multi-agent framework; AssistantAgent with per-agent model clients; multi-provider ext (openai/anthropic/azure); README "multi-agent AI applications"
microsoft/autogen	ii	TEAM	0	core abstraction GroupChat (peer agents + optional manager); AgentChat group chat; not a fixed orchestrator
microsoft/autogen	iii	NO	0	no core judge/critic component in README/quickstart; termination via stop conditions not judge agent
crewAIInc/crewAI	i	MULTI	0	README "multi-agent workflows"; agents each configured with own role+LLM; crew = set of agents
crewAIInc/crewAI	ii	TEAM	1	final: TEAM per primary-abstraction rule (pass-B) — headline = Crew of role agents; Process.hierarchical manager is optional mode
crewAIInc/crewAI	iii	NO	0	no core judge; guardrails are input validation not judge agent
langchain-ai/langgraph	i	MULTI	0	"low-level orchestration framework"; multi-agent patterns (supervisor, network, hierarchical) documented
langchain-ai/langgraph	ii	ORCH-WORKER	0	StateGraph with supervisor pattern = canonical; add_node/add_edge define orchestration
langchain-ai/langgraph	iii	NO	0	no built-in judge node; evaluator is user-defined pattern
FoundationAgents/MetaGPT	i	MULTI	0	"Software Company as Multi-Agent System"; distinct role agents (PM/architect/engineer)
FoundationAgents/MetaGPT	ii	PIPELINE	0	SOP-defined sequential role handoffs (PM→architect→engineer→QA); pipeline via message queue
FoundationAgents/MetaGPT	iii	JUDGE	1	QA/reviewer role in SOP acts as verifier of engineer output (boundary: role agent vs judge)
OpenBMB/AgentVerse	i	MULTI	0	"deployment of multiple LLM-based agents"; task-solving + simulation frameworks
OpenBMB/AgentVerse	ii	TEAM	0	task-solving assembles multiple agents as automatic multi-agent system (peer collaboration); simulation = environment
OpenBMB/AgentVerse	iii	NO	0	no judge component in core frameworks
camel-ai/camel	i	MULTI	0	role-play agents (AI society); multiple role agents converse
camel-ai/camel	ii	TEAM	0	role-playing conversation between two+ agents (peer message exchange)
camel-ai/camel	iii	NO	0	no core judge
openai/openai-agents-python	i	MULTI	0	"multi-agent workflows"; provider-agnostic; multiple agents with instructions+tools+handoffs
openai/openai-agents-python	ii	TEAM	1	handoffs = peer control transfer between agents (no central orchestrator); boundary with ORCH-WORKER
openai/openai-agents-python	iii	NO	0	guardrails are safety checks, not judge/critic
huggingface/smolagents	i	SINGLE	1	core = single CodeAgent loop with tools; multi-agent is secondary pattern (boundary: framework supports multi)
huggingface/smolagents	ii	SINGLE	0	primary abstraction = one agent per task
huggingface/smolagents	iii	NO	0	no judge component
Significant-Gravitas/AutoGPT	i	MULTI	0	platform runs many agents ("builds the agent, runs it"); four surfaces one platform
Significant-Gravitas/AutoGPT	ii	ORCH-WORKER	1	platform server orchestrates agent runs (boundary: builder platform vs agent topology)
Significant-Gravitas/AutoGPT	iii	NO	0	no core judge in platform
assafelovic/gpt-researcher	i	MULTI	0	deep_agents + multi_agents modes (langgraph); multiple research agents
assafelovic/gpt-researcher	ii	ORCH-WORKER	0	multi_agents = planner + reviewer + researcher agents (orchestrated team)
assafelovic/gpt-researcher	iii	JUDGE	0	reviewer agent in multi_agents mode explicitly validates output (docs "reviewer agent")
mem0ai/mem0	i	SINGLE	0	memory layer for agents (infrastructure, not an agent system); no agent orchestration
mem0ai/mem0	ii	SINGLE	0	no agent topology; provides memory API to external agents
mem0ai/mem0	iii	NO	0	no judge; evaluation dir is benchmark harness not judge component
camel-ai/owl	i	MULTI	0	"multi-agent collaboration... built on CAMEL-AI Framework"; workforce of agents
camel-ai/owl	ii	ORCH-WORKER	0	"Optimized Workforce Learning" = coordinator + workers (owl has admin/organizer roles)
camel-ai/owl	iii	NO	0	no judge role in OWL architecture (GAIA eval is external benchmark)
THU-MAIC/OpenMAIC	i	MULTI	0	"multi-agent learning experience"; classroom of agents
THU-MAIC/OpenMAIC	ii	ORCH-WORKER	0	teacher agent orchestrates student agents in classroom (langgraph)
THU-MAIC/OpenMAIC	iii	UNKNOWN	1	grading/assessment may exist in classroom flow; not confirmed in README head (boundary)
pydantic/pydantic-ai	i	SINGLE	0	typed agent loop SDK; every model single backend per agent; multi-agent is delegation not core
pydantic/pydantic-ai	ii	SINGLE	0	primary abstraction = one agent with tools+result types
pydantic/pydantic-ai	iii	NO	0	no judge component
danny-avila/LibreChat	i	SINGLE	0	final: SINGLE per refinement (R104) — provider multiplicity != concurrent model instances; one model per conversation
danny-avila/LibreChat	ii	SINGLE	0	chat app; agents run per-conversation (no multi-agent topology)
danny-avila/LibreChat	iii	NO	0	no judge component
OpenHands/OpenHands	i	MULTI	0	Agent Canvas runs multiple agents concurrently ("engineering team", multiple backends)
OpenHands/OpenHands	ii	TEAM	1	canvas = concurrent agents on shared workspace (boundary with ORCH-WORKER); core agent itself single
OpenHands/OpenHands	iii	NO	0	no judge component (tree not fetched — star=0 data gap, evidence from README)
KnockOutEZ/wigolo	i	SINGLE	0	web-intelligence tool server FOR agents (search/fetch/crawl); not an agent system; crewai dep incidental
KnockOutEZ/wigolo	ii	SINGLE	0	no agent topology (MCP-style tool service)
KnockOutEZ/wigolo	iii	NO	0	no judge
Lumiwealth/lumibot	i	SINGLE	0	algorithmic trading strategies + single AI agent per bot; not multi-agent orchestration
Lumiwealth/lumibot	ii	SINGLE	0	trading bot framework; agents not orchestrated together
Lumiwealth/lumibot	iii	UNKNOWN	1	agent_eval_cases/baselines dirs suggest evaluation infrastructure (boundary: eval harness vs judge agent)
langroid/langroid	i	MULTI	0	framework: "set up Agents... collaboratively solve a problem by exchanging messages"
langroid/langroid	ii	TEAM	0	peer message exchange between agents (task delegation without central orchestrator)
langroid/langroid	iii	NO	0	no core judge
minitap-ai/mobile-use	i	SINGLE	0	single device-control agent (Android/iOS); langgraph for workflow not multi-agent
minitap-ai/mobile-use	ii	SINGLE	0	one agent controls device
minitap-ai/mobile-use	iii	NO	0	no judge
